"Reporting starts","Reporting ends","Ad name","Ad delivery",Impressions,"Link clicks","Messaging Conversations Started","Messaging replies","Blocked messaging connections","New messaging connections","Clicks (all)","Video plays"
2022-05-24,2022-05-24,Nadine_Negro_Message,not_delivering,2497,73,4,6,,4,83,123
2022-05-25,2022-05-25,Nadine_Negro_Message,not_delivering,1265,49,2,4,3,2,56,54
2022-05-28,2022-05-28,Nadine_Negro_Message,not_delivering,821,37,2,3,,2,46,53
2022-05-29,2022-05-29,Nadine_Negro_Message,not_delivering,695,18,,1,1,,21,47
2022-05-27,2022-05-27,Nadine_Negro_Message,not_delivering,719,21,1,1,,1,31,45
2022-05-26,2022-05-26,Nadine_Negro_Message,not_delivering,537,19,2,2,1,2,22,31
2022-05-27,2022-05-27,Noelle_Vino_Message,not_delivering,396,11,,,,,17,24
2022-05-24,2022-05-24,Maddy_Message,not_delivering,205,7,,,,,8,15
2022-05-25,2022-05-25,Serpent_Nude_Message_2,not_delivering,177,3,,,,,6,14
2022-05-28,2022-05-28,Noelle_Vino_Message,not_delivering,191,2,,,,,5,13
2022-05-26,2022-05-26,Maddy_Message,not_delivering,371,3,,,,,5,13
2022-05-30,2022-05-30,Nadine_Negro_Message,not_delivering,264,10,,1,,,12,11
2022-05-26,2022-05-26,Noelle_Vino_Message,not_delivering,248,7,,,,,8,10
2022-05-25,2022-05-25,Maddy_Message,not_delivering,237,3,,,,,5,8
2022-05-28,2022-05-28,Serpent_Nude_Message_1,not_delivering,61,3,,,,,5,7
2022-05-29,2022-05-29,Serpent_Nude_Message_1,not_delivering,73,1,,,,,1,6
2022-05-30,2022-05-30,Joanne_Azul_Message,not_delivering,154,7,,1,,,7,5
2022-05-29,2022-05-29,Maddy_Message,not_delivering,62,3,,,,,3,5
2022-05-29,2022-05-29,Joanne_Azul_Message,not_delivering,66,4,,,,,6,5
2022-05-28,2022-05-28,Maddy_Message,not_delivering,20,2,1,1,,1,2,4
2022-05-27,2022-05-27,Serpent_Nude_Message_1,not_delivering,31,2,,,,,2,4
2022-05-27,2022-05-27,Julie_Dark_Message,not_delivering,71,2,,,,,2,4
2022-05-25,2022-05-25,Noelle_Vino_Message,not_delivering,151,2,,7,,,5,4
2022-05-30,2022-05-30,Maddy_Message,not_delivering,78,3,1,1,,1,5,3
2022-05-27,2022-05-27,Maddy_Message,not_delivering,31,,,,,,0,3
2022-05-27,2022-05-27,Serpent_Nude_Message_2,not_delivering,18,,,,,,1,3
2022-05-26,2022-05-26,Serpent_Red_Message,not_delivering,62,2,,,,,2,3
2022-05-25,2022-05-25,Joanne_Azul_Message,not_delivering,20,,,,,,0,3
