"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking",Starts,Ends,"Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","CTR (all)","Page engagement","Estimated ad recall lift (people)"
2022-05-29,2022-05-29,Julie_Cafe,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",610,estimated_ad_recallers,6848,7551,0.12108196721311,"Below average - Bottom 35% of ads",2022-05-23,2022-05-30,73.86,8.90771,10,8.0784002118925,1.102658,15,0.198649,11,610
2022-05-28,2022-05-28,Julie_Cafe,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",590,estimated_ad_recallers,6470,7153,0.12640677966102,Average,2022-05-23,2022-05-30,74.58,9.119011,14,8.2482874318468,1.105564,24,0.335524,15,590
2022-05-27,2022-05-27,Julie_Cafe,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",510,estimated_ad_recallers,5022,5583,0.11443137254902,Average,2022-05-23,2022-05-30,58.36,10.155317,8,9.1348737238044,1.111708,8,0.143292,8,510
2022-05-30,2022-05-30,Julie_Cafe,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",420,estimated_ad_recallers,4673,5018,0.1052619047619,"Below average - Bottom 35% of ads",2022-05-23,2022-05-30,44.21,8.987802,10,8.3698684734954,1.073828,12,0.239139,10,420
2022-05-25,2022-05-25,Noelle_Vino,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",420,estimated_ad_recallers,5755,6505,0.12935714285714,Average,2022-05-23,2022-05-30,54.33,7.298002,8,6.456571867794,1.130321,11,0.169101,8,420
2022-05-26,2022-05-26,Noelle_Vino,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",380,estimated_ad_recallers,4457,4897,0.11907894736842,Average,2022-05-23,2022-05-30,45.25,8.525914,12,7.7598529712069,1.098721,13,0.265469,12,380
2022-05-24,2022-05-24,Julie_Cafe,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",380,estimated_ad_recallers,5148,5804,0.12084210526316,"Above average",2022-05-23,2022-05-30,45.92,7.381507,9,6.5472088215024,1.127428,14,0.241213,10,380
2022-05-27,2022-05-27,Noelle_Vino,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",350,estimated_ad_recallers,3080,3404,0.10131428571429,Average,2022-05-23,2022-05-30,35.46,11.363636,5,10.282021151586,1.105195,5,0.146886,5,350
2022-05-26,2022-05-26,Julie_Cafe,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",340,estimated_ad_recallers,4248,4691,0.12470588235294,Average,2022-05-23,2022-05-30,42.4,8.003766,12,7.2479215519079,1.104284,13,0.277126,12,340
2022-05-24,2022-05-24,Julie_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",270,estimated_ad_recallers,2267,2652,0.081444444444444,-,2022-05-23,2022-05-30,21.99,11.910013,2,10.180995475113,1.169828,2,0.075415,2,270
